reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_tee6bf8cb,Q5963109,Hägersten SK,Sweden,1933-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t0f3ddabf,Q17448374,Häggenås SK,Sweden,1932-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_te39b0ccc,Q5963118,Häljarps IF,Sweden,1930-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t4de14e59,Q10531382,Hälleforsnäs IF,Sweden,1925-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_te5b43e5c,Q11864054,Hämeenlinnan Härmä,Finland,1967-01-01,Kaurialan kenttä,,,,,,,,,,,,,,,,,,,,,
reep_t7705a1f9,Q42377166,Hämeenlinnan Jalkapalloseura,Finland,1999-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta3c4e7fe,Q10531739,Härnösands AIK,Sweden,1945-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t1d08c2f6,Q1642394,Härnösands FF,Sweden,2007-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t00e01f57,Q744272,Hässleholms IF,Sweden,1922-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t67fb1f24,Q10531959,Håbo FF,Sweden,1996-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t1151d03c,Q2979869,Hércules,El Salvador,,,,,,,,,,,,,,,,,,,,,,,
reep_t5ddad18d,Q11963,Hércules CF,Spain,1922-01-01,Estadio José Rico Pérez,7971,4222a514,,,,,,,,720,,,,,,,,,133815,,
reep_t18f03c4d,Q9006245,Hércules CF B,Spain,1996-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tc50e4105,Q666808,Héroes de Caborca,Mexico,2014-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tbe5b21ef,Q5743188,Héroes de Veracruz,Mexico,2009-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t021e87b0,Q64666015,Héroes de Zaci,Mexico,2015-01-01,,,,,,,,,,,,,,,,,,,,,,
